Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Jose Ogunjinmi,H-Back,180.34,218,2,4,Geography & Aviation,"Windsor, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Ogunjinmi.jpg&width=300&type=webp
Jordan Landry,LB,190.5,205,1,1,Geography & Environmental Management,"Hamilton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fLandry_Jordan.jpg&width=300&type=webp
Cole Weddell,LS,182.88,205,3,4,Kinesiology,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fWeddell_Cole.jpg&width=300&type=webp
Jadyn Alam-Smith,LB,185.42,211,1,2,Health Sciences,"Mississauga, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Alam-Smith.jpg&width=300&type=webp
Sam McPherson,LB,182.88,210,1,1,Arts & Business,"Caledon, ON",https://i.imgur.com/rxwmSpO.png
Nate Mortenson,LB,190.5,211,2,3,Recreation & Sport Business,"Windsor, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fMortenson_Nate.jpg&width=300&type=webp
Allen Clements,LB,187.96,200,1,1,Mechanical Engineering,"Cranford, AB",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fClements_Allen.jpg&width=300&type=webp
Andrew Kilby,LB,182.88,218,1,2,Kinesiology,"Sudbury, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Kilby.jpg&width=300&type=webp
Cameron Krug,DL,190.5,224,3,3,Environment & Business,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fC._Krug.jpg&width=300&type=webp
Marcus Miller,DL,190.5,234,3,5,Recreation & Leisure,"Brampton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Miller.jpg&width=300&type=webp
Ethan Kalra,OL,190.5,321,5,5,Arts & Business,"Acton, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fKalra_Ethan.jpg&width=300&type=webp
Marcus Palumbo,OL,185.42,297,1,1,Arts & Business,"Sault Ste. Marie, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fPalumbo_Marcus.jpg&width=300&type=webp
Cameron Bulai,OL,182.88,303,2,5,Arts & Business,"Waterloo, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fC._Bulai.jpg&width=300&type=webp
Ethan Given,OL,180.34,265,1,1,Arts,"Thunder Bay, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fE._Given.jpg&width=300&type=webp
